seed	objective	selected_score_name	selected_aggregation	top200_overlap	top200_fold	top200_hypergeom	top500_overlap	top500_hypergeom	top1000_overlap	top1000_hypergeom	weighted_top200_500_1000	n_calibration_truth	n_heldout_truth
336362904	top200_overlap	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	18.0	4.0572419425987673e-13	30.0	5.428244247307409e-19	12.858204461158214	198	85
336362904	top200_hypergeom	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	18.0	4.0572419425987673e-13	30.0	5.428244247307409e-19	12.858204461158214	198	85
336362904	top200_fold	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	18.0	4.0572419425987673e-13	30.0	5.428244247307409e-19	12.858204461158214	198	85
336362904	weighted_top200_500_1000	inverted_base_motif_structure_score	max_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	32.0	4.87116976059401e-21	13.28697471188188	198	85
336362904	top500_hypergeom	inverted_base_motif_structure_score	max_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	32.0	4.87116976059401e-21	13.28697471188188	198	85
336362904	top1000_hypergeom	inverted_base_motif_structure_score	max_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	32.0	4.87116976059401e-21	13.28697471188188	198	85
1989451307	top200_overlap	inverted_base_motif_structure_score	top5_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	23.0	9.140100293996939e-19	34.0	3.7607451472218697e-23	16.714973858002143	198	85
1989451307	top200_hypergeom	inverted_base_motif_structure_score	top5_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	23.0	9.140100293996939e-19	34.0	3.7607451472218697e-23	16.714973858002143	198	85
1989451307	top200_fold	inverted_base_motif_structure_score	top5_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	23.0	9.140100293996939e-19	34.0	3.7607451472218697e-23	16.714973858002143	198	85
1989451307	weighted_top200_500_1000	inverted_base_motif_structure_score	top3_mean_score	13.0	18.180959595959596	5.156837834697902e-13	24.0	5.792402431394479e-20	36.0	2.5146953948550237e-25	16.834853567300264	198	85
1989451307	top500_hypergeom	inverted_base_motif_structure_score	top3_mean_score	13.0	18.180959595959596	5.156837834697902e-13	24.0	5.792402431394479e-20	36.0	2.5146953948550237e-25	16.834853567300264	198	85
1989451307	top1000_hypergeom	inverted_base_motif_structure_score	max_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	37.0	1.9520742027996368e-26	14.366402100453412	198	85
1289457136	top200_overlap	structure_only_score	max_score	14.0	19.57949494949495	2.3087246810897346e-14	18.0	4.0572419425987673e-13	20.0	7.173331524853028e-10	12.364700474643278	198	85
1289457136	top200_hypergeom	structure_only_score	max_score	14.0	19.57949494949495	2.3087246810897346e-14	18.0	4.0572419425987673e-13	20.0	7.173331524853028e-10	12.364700474643278	198	85
1289457136	top200_fold	structure_only_score	max_score	14.0	19.57949494949495	2.3087246810897346e-14	18.0	4.0572419425987673e-13	20.0	7.173331524853028e-10	12.364700474643278	198	85
1289457136	weighted_top200_500_1000	inverted_base_motif_structure_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	21.0	1.9547727806466843e-16	33.0	4.359436612649576e-22	15.128593304374304	198	85
1289457136	top500_hypergeom	inverted_base_motif_structure_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	21.0	1.9547727806466843e-16	33.0	4.359436612649576e-22	15.128593304374304	198	85
1289457136	top1000_hypergeom	inverted_base_motif_structure_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	21.0	1.9547727806466843e-16	33.0	4.359436612649576e-22	15.128593304374304	198	85
1889382247	top200_overlap	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	13.496615291429384	198	85
1889382247	top200_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	13.496615291429384	198	85
1889382247	top200_fold	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	13.496615291429384	198	85
1889382247	weighted_top200_500_1000	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	13.496615291429384	198	85
1889382247	top500_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	13.496615291429384	198	85
1889382247	top1000_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	13.496615291429384	198	85
800250632	top200_overlap	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
800250632	top200_hypergeom	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
800250632	top200_fold	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
800250632	weighted_top200_500_1000	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
800250632	top500_hypergeom	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
800250632	top1000_hypergeom	inverted_base_motif_structure_score	top5_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	36.0	2.5146953948550237e-25	14.483525310601767	198	85
1539420525	top200_overlap	structure_only_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	17.0	4.595856023183095e-12	20.0	7.173331524853028e-10	11.373954157730125	198	85
1539420525	top200_hypergeom	structure_only_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	17.0	4.595856023183095e-12	20.0	7.173331524853028e-10	11.373954157730125	198	85
1539420525	top200_fold	structure_only_score	max_score	13.0	18.180959595959596	5.156837834697902e-13	17.0	4.595856023183095e-12	20.0	7.173331524853028e-10	11.373954157730125	198	85
1539420525	weighted_top200_500_1000	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	37.0	1.9520742027996368e-26	14.366402100453412	198	85
1539420525	top500_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	37.0	1.9520742027996368e-26	14.366402100453412	198	85
1539420525	top1000_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	37.0	1.9520742027996368e-26	14.366402100453412	198	85
1778277625	top200_overlap	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	top200_hypergeom	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	top200_fold	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	weighted_top200_500_1000	inverted_base_motif_structure_score	top10_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	35.0	3.1297905079413042e-24	13.925398311070726	198	85
1778277625	top500_hypergeom	inverted_base_score	top3_mean_score	12.0	16.78242424242424	1.058738683901139e-11	21.0	1.9547727806466843e-16	24.0	2.8076545168817306e-13	12.710607991014147	198	85
1778277625	top1000_hypergeom	inverted_base_motif_structure_score	top10_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	35.0	3.1297905079413042e-24	13.925398311070726	198	85
1624446027	top200_overlap	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	14.13326962787133	198	85
1624446027	top200_hypergeom	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	14.13326962787133	198	85
1624446027	top200_fold	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	14.13326962787133	198	85
1624446027	weighted_top200_500_1000	inverted_base_motif_structure_score	top5_mean_score	12.0	16.78242424242424	1.058738683901139e-11	20.0	2.6393664570210143e-15	33.0	4.359436612649576e-22	14.13326962787133	198	85
1624446027	top500_hypergeom	inverted_base_motif_structure_score	max_score	10.0	13.985353535353536	3.3837043464144284e-09	21.0	1.9547727806466843e-16	33.0	4.359436612649576e-22	13.2200888370136	198	85
1624446027	top1000_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	20.0	2.6393664570210143e-15	34.0	3.7607451472218697e-23	13.709446584132447	198	85
1797759645	top200_overlap	inverted_base_motif_structure_score	top5_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	17.0	4.595856023183095e-12	29.0	5.40331246201959e-18	13.673071986160103	198	85
1797759645	top200_hypergeom	inverted_base_motif_structure_score	top5_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	17.0	4.595856023183095e-12	29.0	5.40331246201959e-18	13.673071986160103	198	85
1797759645	top200_fold	inverted_base_motif_structure_score	top5_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	17.0	4.595856023183095e-12	29.0	5.40331246201959e-18	13.673071986160103	198	85
1797759645	weighted_top200_500_1000	inverted_base_motif_structure_score	top5_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	17.0	4.595856023183095e-12	29.0	5.40331246201959e-18	13.673071986160103	198	85
1797759645	top500_hypergeom	structure_only_score	max_score	11.0	15.383888888888889	1.9865406411345842e-10	19.0	3.369443414552566e-14	22.0	1.569875361480386e-11	11.053510787911657	198	85
1797759645	top1000_hypergeom	inverted_base_motif_structure_score	top3_mean_score	14.0	19.57949494949495	2.3087246810897346e-14	16.0	4.882974508817255e-11	30.0	5.428244247307409e-19	13.564776713850607	198	85
748698052	top200_overlap	structure_only_score	max_score	12.0	16.78242424242424	1.058738683901139e-11	17.0	4.595856023183095e-12	19.0	4.473357834818325e-09	10.558768956824924	198	85
748698052	top200_hypergeom	structure_only_score	max_score	12.0	16.78242424242424	1.058738683901139e-11	17.0	4.595856023183095e-12	19.0	4.473357834818325e-09	10.558768956824924	198	85
748698052	top200_fold	structure_only_score	max_score	12.0	16.78242424242424	1.058738683901139e-11	17.0	4.595856023183095e-12	19.0	4.473357834818325e-09	10.558768956824924	198	85
748698052	weighted_top200_500_1000	inverted_base_motif_structure_score	max_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	31.0	5.2421437537357246e-20	13.419720602635795	198	85
748698052	top500_hypergeom	inverted_base_motif_structure_score	max_score	11.0	15.383888888888889	1.9865406411345842e-10	21.0	1.9547727806466843e-16	31.0	5.2421437537357246e-20	13.419720602635795	198	85
748698052	top1000_hypergeom	inverted_base_motif_structure_score	top3_mean_score	11.0	15.383888888888889	1.9865406411345842e-10	18.0	4.0572419425987673e-13	32.0	4.87116976059401e-21	12.63095534786762	198	85
